p1,p2,n
Cristian Gabriel Romero,Nicolás Hernán Otamendi,21
Nicolás Alejandro Tagliafico,Nicolás Hernán Otamendi,18
Nahuel Molina Lucero,Rodrigo Javier De Paul,18
Enzo Fernandez,Nicolás Hernán Otamendi,17
Lionel Andrés Messi Cuccittini,Rodrigo Javier De Paul,16
Cristian Gabriel Romero,Rodrigo Javier De Paul,15
Cristian Gabriel Romero,Enzo Fernandez,13
Nicolás Alejandro Tagliafico,Ángel Fabián Di María Hernández,12
Alexis Mac Allister,Nicolás Alejandro Tagliafico,12
Alexis Mac Allister,Ángel Fabián Di María Hernández,11
Enzo Fernandez,Rodrigo Javier De Paul,11
Nicolás Hernán Otamendi,Rodrigo Javier De Paul,9
Damián Emiliano Martínez,Nicolás Hernán Otamendi,9
Alexis Mac Allister,Enzo Fernandez,9
Lionel Andrés Messi Cuccittini,Nahuel Molina Lucero,9
Lionel Andrés Messi Cuccittini,Ángel Fabián Di María Hernández,9
Enzo Fernandez,Nicolás Alejandro Tagliafico,8
Enzo Fernandez,Nahuel Molina Lucero,7
Enzo Fernandez,Lionel Andrés Messi Cuccittini,7
Cristian Gabriel Romero,Damián Emiliano Martínez,7
Nicolás Hernán Otamendi,Ángel Fabián Di María Hernández,7
Alexis Mac Allister,Lionel Andrés Messi Cuccittini,7
Cristian Gabriel Romero,Nahuel Molina Lucero,6
Julián Álvarez,Lionel Andrés Messi Cuccittini,6
Enzo Fernandez,Julián Álvarez,5
Alexis Mac Allister,Julián Álvarez,5
Damián Emiliano Martínez,Nahuel Molina Lucero,4
Julián Álvarez,Ángel Fabián Di María Hernández,4
Enzo Fernandez,Ángel Fabián Di María Hernández,4
Julián Álvarez,Rodrigo Javier De Paul,3
Rodrigo Javier De Paul,Ángel Fabián Di María Hernández,3
Julián Álvarez,Nahuel Molina Lucero,3
Cristian Gabriel Romero,Ángel Fabián Di María Hernández,3
Cristian Gabriel Romero,Lionel Andrés Messi Cuccittini,3
Damián Emiliano Martínez,Rodrigo Javier De Paul,2
Nahuel Molina Lucero,Ángel Fabián Di María Hernández,2
Alexis Mac Allister,Rodrigo Javier De Paul,2
Alexis Mac Allister,Nicolás Hernán Otamendi,2
Julián Álvarez,Nicolás Alejandro Tagliafico,1
Damián Emiliano Martínez,Ángel Fabián Di María Hernández,1
Lionel Andrés Messi Cuccittini,Nicolás Hernán Otamendi,1
Damián Emiliano Martínez,Enzo Fernandez,1
Nahuel Molina Lucero,Nicolás Hernán Otamendi,1
Cristian Gabriel Romero,Julián Álvarez,1
Alexis Mac Allister,Nahuel Molina Lucero,1
Alexis Mac Allister,Cristian Gabriel Romero,1
