player,x,y,passes,betweenness
Raphaël Varane,42.55555555555556,51.93888888888889,18,0.328
Jules Koundé,50.1,68.96666666666667,15,0.233
Dayotchanculle Upamecano,39.26428571428572,27.95714285714286,14,0.278
Theo Bernard François Hernández,61.20769230769231,10.2,13,0.111
Adrien Rabiot,56.1,28.316666666666666,12,0.111
Aurélien Djani Tchouaméni,51.39,37.519999999999996,10,0.044
Ousmane Dembélé,66.56666666666666,71.95555555555556,9,0.05
Kylian Mbappé Lottin,78.375,14.025,8,0.056
Antoine Griezmann,66.43333333333334,54.20000000000001,6,0.061
Hugo Lloris,12.5,35.46666666666667,6,0.0
Olivier Giroud,69.24,56.02,5,0.022
